frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
25.91,1.80,-1.97,1.81,-1.96,1.97,1.97,3.77,3.77,3.77
26.16,1.88,-1.91,1.88,-1.91,1.91,1.90,3.80,3.79,3.79
26.43,1.95,-1.86,1.95,-1.86,1.86,1.84,3.82,3.82,3.81
26.69,2.02,-1.81,2.02,-1.81,1.81,1.78,3.83,3.83,3.83
26.96,2.09,-1.76,2.09,-1.76,1.76,1.72,3.85,3.85,3.86
27.23,2.16,-1.71,2.17,-1.71,1.71,1.66,3.87,3.88,3.88
27.50,2.24,-1.66,2.24,-1.66,1.66,1.60,3.90,3.90,3.91
27.77,2.31,-1.61,2.31,-1.61,1.61,1.55,3.92,3.92,3.92
28.05,2.38,-1.56,2.39,-1.56,1.56,1.49,3.94,3.95,3.94
28.33,2.46,-1.50,2.46,-1.50,1.50,1.43,3.97,3.96,3.96
28.62,2.53,-1.45,2.53,-1.45,1.45,1.38,3.98,3.98,3.98
28.90,2.60,-1.41,2.61,-1.40,1.40,1.33,4.00,4.00,4.01
29.19,2.68,-1.35,2.68,-1.35,1.34,1.28,4.03,4.02,4.03
29.48,2.76,-1.28,2.76,-1.29,1.29,1.23,4.05,4.05,4.05
29.78,2.83,-1.23,2.84,-1.23,1.24,1.18,4.07,4.08,4.07
30.08,2.91,-1.17,2.91,-1.18,1.19,1.13,4.10,4.10,4.09
30.38,2.97,-1.14,2.98,-1.14,1.14,1.09,4.11,4.12,4.11
30.68,3.04,-1.09,3.04,-1.09,1.09,1.04,4.13,4.13,4.13
30.99,3.11,-1.05,3.11,-1.05,1.04,1.00,4.15,4.15,4.16
31.30,3.18,-1.00,3.19,-1.00,0.99,0.96,4.17,4.17,4.18
31.61,3.26,-0.94,3.26,-0.94,0.93,0.91,4.20,4.20,4.20
31.93,3.34,-0.89,3.34,-0.88,0.88,0.87,4.22,4.22,4.23
32.24,3.42,-0.82,3.43,-0.82,0.82,0.84,4.24,4.25,4.25
32.57,3.51,-0.75,3.51,-0.76,0.76,0.80,4.27,4.27,4.27
32.89,3.59,-0.69,3.59,-0.69,0.69,0.76,4.29,4.29,4.29
33.22,3.67,-0.63,3.67,-0.63,0.63,0.73,4.31,4.31,4.30
33.55,3.75,-0.57,3.75,-0.57,0.57,0.69,4.32,4.32,4.32
33.89,3.83,-0.52,3.83,-0.51,0.51,0.66,4.35,4.35,4.35
34.23,3.91,-0.46,3.91,-0.46,0.46,0.63,4.37,4.37,4.37
34.57,3.98,-0.41,3.98,-0.41,0.41,0.60,4.39,4.39,4.39
34.92,4.05,-0.36,4.06,-0.36,0.37,0.57,4.42,4.43,4.41
35.27,4.13,-0.32,4.13,-0.32,0.33,0.54,4.46,4.46,4.45
35.62,4.21,-0.29,4.21,-0.30,0.30,0.51,4.51,4.51,4.50
35.97,4.28,-0.28,4.29,-0.28,0.27,0.48,4.55,4.56,4.57
36.33,4.36,-0.25,4.37,-0.25,0.25,0.46,4.61,4.61,4.62
36.70,4.44,-0.23,4.44,-0.23,0.23,0.43,4.67,4.67,4.67
37.06,4.52,-0.20,4.52,-0.20,0.21,0.41,4.73,4.73,4.72
37.43,4.58,-0.19,4.59,-0.19,0.19,0.39,4.78,4.78,4.77
37.81,4.65,-0.17,4.65,-0.18,0.18,0.37,4.83,4.83,4.83
38.19,4.71,-0.17,4.72,-0.17,0.16,0.35,4.87,4.88,4.89
38.57,4.78,-0.16,4.78,-0.16,0.15,0.33,4.93,4.93,4.94
38.95,4.85,-0.14,4.85,-0.14,0.13,0.31,4.99,4.99,4.99
39.34,4.92,-0.12,4.92,-0.12,0.12,0.29,5.04,5.04,5.04
39.74,4.99,-0.09,4.99,-0.10,0.10,0.27,5.10,5.09,5.08
40.14,5.05,-0.08,5.06,-0.08,0.09,0.26,5.14,5.14,5.14
40.54,5.12,-0.08,5.12,-0.07,0.07,0.24,5.19,5.19,5.20
40.94,5.19,-0.06,5.19,-0.06,0.06,0.23,5.25,5.25,5.25
41.35,5.25,-0.05,5.26,-0.05,0.04,0.21,5.30,5.30,5.30
41.76,5.32,-0.03,5.32,-0.03,0.03,0.20,5.36,5.36,5.35
42.18,5.38,-0.02,5.38,-0.02,0.03,0.19,5.41,5.41,5.41
42.60,5.44,-0.01,5.44,-0.02,0.02,0.18,5.47,5.46,5.46
43.03,5.49,-0.02,5.49,-0.02,0.02,0.17,5.51,5.51,5.51
43.46,5.54,-0.02,5.54,-0.02,0.02,0.16,5.56,5.56,5.56
43.90,5.59,-0.03,5.59,-0.03,0.02,0.16,5.61,5.61,5.62
44.33,5.64,-0.03,5.64,-0.03,0.03,0.15,5.67,5.67,5.68
44.78,5.69,-0.03,5.69,-0.04,0.03,0.15,5.72,5.72,5.73
45.23,5.74,-0.04,5.74,-0.04,0.04,0.14,5.78,5.78,5.78
45.68,5.78,-0.05,5.79,-0.04,0.05,0.14,5.83,5.84,5.83
46.13,5.83,-0.05,5.83,-0.05,0.06,0.14,5.89,5.89,5.88
46.60,5.87,-0.07,5.87,-0.07,0.07,0.14,5.94,5.94,5.94
47.06,5.91,-0.08,5.91,-0.08,0.09,0.14,6.00,6.00,6.00
47.53,5.95,-0.10,5.95,-0.10,0.10,0.14,6.06,6.05,6.06
48.01,5.99,-0.12,5.99,-0.11,0.12,0.14,6.11,6.11,6.11
48.49,6.03,-0.13,6.04,-0.13,0.13,0.15,6.16,6.17,6.16
48.97,6.08,-0.13,6.08,-0.14,0.14,0.15,6.22,6.22,6.21
49.46,6.11,-0.15,6.12,-0.15,0.14,0.15,6.26,6.26,6.27
49.96,6.15,-0.16,6.15,-0.15,0.14,0.16,6.29,6.29,6.32
50.46,6.18,-0.15,6.19,-0.15,0.13,0.16,6.31,6.32,6.33
50.96,6.22,-0.12,6.22,-0.12,0.12,0.17,6.34,6.34,6.34
51.47,6.25,-0.10,6.25,-0.10,0.10,0.17,6.35,6.35,6.35
51.99,6.28,-0.08,6.29,-0.07,0.08,0.18,6.36,6.37,6.36
52.51,6.32,-0.05,6.32,-0.05,0.05,0.18,6.38,6.37,6.37
53.03,6.35,-0.02,6.35,-0.02,0.03,0.18,6.38,6.38,6.37
53.56,6.37,-0.01,6.37,-0.00,0.01,0.18,6.38,6.39,6.38
54.10,6.39,0.01,6.39,0.01,-0.01,0.18,6.39,6.38,6.38
54.64,6.40,0.01,6.40,0.02,-0.02,0.17,6.38,6.39,6.39
55.18,6.41,0.02,6.42,0.02,-0.03,0.17,6.39,6.39,6.39
55.74,6.43,0.03,6.43,0.03,-0.03,0.16,6.40,6.40,6.40
56.29,6.44,0.04,6.44,0.04,-0.03,0.16,6.41,6.41,6.40
56.86,6.44,0.04,6.44,0.04,-0.03,0.15,6.41,6.41,6.40
57.42,6.43,0.03,6.43,0.03,-0.03,0.14,6.41,6.41,6.40
58.00,6.42,0.02,6.43,0.03,-0.02,0.13,6.40,6.41,6.40
58.58,6.42,0.02,6.42,0.02,-0.02,0.12,6.40,6.40,6.40
59.16,6.42,0.02,6.42,0.02,-0.03,0.12,6.39,6.39,6.40
59.76,6.40,0.01,6.40,0.02,-0.04,0.11,6.36,6.36,6.39
60.35,6.38,0.03,6.38,0.04,-0.06,0.10,6.33,6.33,6.35
60.96,6.35,0.07,6.36,0.07,-0.08,0.10,6.28,6.28,6.28
61.57,6.32,0.12,6.32,0.11,-0.10,0.09,6.22,6.22,6.21
62.18,6.28,0.14,6.28,0.14,-0.13,0.09,6.15,6.15,6.14
62.80,6.23,0.17,6.23,0.16,-0.16,0.09,6.08,6.08,6.06
63.43,6.17,0.18,6.18,0.18,-0.18,0.09,5.99,5.99,6.00
64.07,6.11,0.19,6.12,0.20,-0.20,0.09,5.91,5.92,5.92
64.71,6.05,0.21,6.05,0.21,-0.21,0.10,5.84,5.84,5.84
65.35,5.98,0.22,5.98,0.22,-0.21,0.11,5.77,5.77,5.77
66.01,5.90,0.21,5.90,0.21,-0.20,0.12,5.70,5.70,5.69
66.67,5.81,0.20,5.81,0.20,-0.19,0.13,5.62,5.62,5.61
67.33,5.71,0.17,5.71,0.17,-0.17,0.15,5.54,5.54,5.55
68.01,5.61,0.14,5.61,0.14,-0.14,0.16,5.47,5.47,5.47
68.69,5.49,0.10,5.50,0.10,-0.11,0.19,5.39,5.39,5.39
69.37,5.38,0.06,5.38,0.06,-0.06,0.21,5.32,5.32,5.32
70.07,5.26,0.02,5.26,0.01,-0.01,0.24,5.25,5.25,5.25
70.77,5.13,-0.04,5.14,-0.04,0.04,0.27,5.17,5.18,5.17
71.48,5.00,-0.10,5.00,-0.10,0.10,0.30,5.10,5.10,5.10
72.19,4.86,-0.16,4.86,-0.16,0.16,0.33,5.03,5.03,5.03
72.91,4.72,-0.23,4.72,-0.23,0.24,0.37,4.96,4.96,4.95
73.64,4.57,-0.31,4.57,-0.31,0.31,0.41,4.88,4.89,4.88
74.38,4.42,-0.39,4.43,-0.39,0.39,0.46,4.82,4.82,4.82
75.12,4.28,-0.47,4.28,-0.48,0.48,0.50,4.76,4.76,4.75
75.87,4.13,-0.57,4.14,-0.56,0.57,0.55,4.70,4.70,4.70
76.63,3.99,-0.66,3.99,-0.66,0.66,0.61,4.65,4.65,4.65
77.40,3.85,-0.74,3.85,-0.75,0.75,0.66,4.60,4.60,4.60
78.17,3.71,-0.84,3.72,-0.84,0.83,0.72,4.55,4.55,4.55
78.95,3.59,-0.92,3.59,-0.93,0.92,0.78,4.51,4.51,4.51
79.74,3.46,-1.01,3.47,-1.00,1.00,0.84,4.46,4.47,4.47
80.54,3.35,-1.08,3.35,-1.07,1.07,0.90,4.43,4.43,4.43
81.35,3.24,-1.13,3.24,-1.14,1.14,0.96,4.39,4.38,4.38
82.16,3.13,-1.20,3.13,-1.20,1.20,1.03,4.34,4.34,4.34
82.98,3.03,-1.27,3.04,-1.26,1.26,1.09,4.29,4.30,4.30
83.81,2.95,-1.31,2.95,-1.31,1.31,1.15,4.26,4.26,4.26
84.65,2.87,-1.35,2.87,-1.35,1.35,1.21,4.22,4.22,4.22
85.50,2.80,-1.38,2.80,-1.38,1.38,1.26,4.19,4.19,4.19
86.35,2.74,-1.41,2.75,-1.41,1.41,1.32,4.15,4.16,4.16
87.22,2.69,-1.43,2.69,-1.43,1.43,1.36,4.12,4.12,4.12
88.09,2.65,-1.44,2.65,-1.45,1.44,1.41,4.10,4.09,4.09
88.97,2.60,-1.46,2.61,-1.45,1.45,1.44,4.05,4.06,4.06
89.86,2.58,-1.46,2.58,-1.45,1.45,1.47,4.04,4.03,4.04
90.76,2.56,-1.44,2.56,-1.45,1.45,1.49,4.01,4.00,4.01
91.66,2.54,-1.43,2.54,-1.44,1.44,1.50,3.98,3.98,3.97
92.58,2.52,-1.43,2.53,-1.42,1.42,1.51,3.94,3.95,3.95
93.51,2.53,-1.40,2.53,-1.40,1.39,1.50,3.93,3.92,3.93
94.44,2.53,-1.37,2.53,-1.37,1.37,1.49,3.90,3.90,3.90
95.39,2.53,-1.34,2.54,-1.34,1.34,1.47,3.87,3.87,3.88
96.34,2.54,-1.30,2.54,-1.30,1.31,1.44,3.85,3.85,3.85
97.30,2.55,-1.27,2.55,-1.27,1.28,1.40,3.83,3.83,3.82
98.28,2.55,-1.24,2.55,-1.24,1.25,1.36,3.81,3.80,3.79
99.26,2.54,-1.22,2.55,-1.22,1.23,1.31,3.77,3.78,3.76
100.25,2.54,-1.19,2.54,-1.20,1.21,1.25,3.75,3.75,3.73
101.25,2.53,-1.19,2.54,-1.19,1.18,1.19,3.72,3.72,3.72
102.27,2.53,-1.17,2.54,-1.17,1.16,1.13,3.70,3.70,3.71
103.29,2.54,-1.14,2.54,-1.15,1.14,1.06,3.68,3.68,3.69
104.32,2.54,-1.12,2.55,-1.11,1.11,1.00,3.65,3.66,3.66
105.37,2.56,-1.08,2.56,-1.08,1.08,0.93,3.64,3.64,3.64
106.42,2.58,-1.04,2.59,-1.04,1.04,0.86,3.62,3.62,3.62
107.48,2.61,-0.99,2.62,-0.98,0.99,0.80,3.60,3.60,3.60
108.56,2.65,-0.92,2.64,-0.93,0.93,0.73,3.59,3.58,3.57
109.64,2.67,-0.87,2.67,-0.87,0.87,0.67,3.54,3.54,3.55
110.74,2.70,-0.81,2.71,-0.81,0.80,0.61,3.50,3.51,3.52
111.85,2.74,-0.74,2.74,-0.74,0.73,0.55,3.47,3.47,3.49
112.97,2.79,-0.66,2.80,-0.65,0.65,0.50,3.44,3.45,3.45
114.10,2.85,-0.57,2.85,-0.57,0.57,0.45,3.42,3.42,3.42
115.24,2.91,-0.47,2.90,-0.48,0.49,0.40,3.40,3.39,3.38
116.39,2.93,-0.41,2.94,-0.40,0.41,0.36,3.35,3.35,3.34
117.55,2.97,-0.34,2.98,-0.33,0.34,0.32,3.31,3.32,3.31
118.73,3.01,-0.26,3.01,-0.27,0.27,0.29,3.29,3.28,3.28
119.92,3.04,-0.20,3.03,-0.21,0.22,0.26,3.26,3.25,3.25
121.12,3.04,-0.16,3.04,-0.17,0.16,0.23,3.21,3.21,3.21
122.33,3.04,-0.14,3.05,-0.13,0.12,0.21,3.16,3.17,3.18
123.55,3.05,-0.10,3.05,-0.10,0.09,0.20,3.14,3.14,3.15
124.79,3.06,-0.06,3.06,-0.06,0.06,0.19,3.12,3.12,3.12
126.03,3.05,-0.04,3.06,-0.04,0.04,0.18,3.10,3.10,3.09
127.29,3.04,-0.02,3.04,-0.02,0.04,0.18,3.08,3.08,3.06
128.57,3.01,-0.02,3.01,-0.03,0.04,0.18,3.05,3.05,3.04
129.85,2.97,-0.04,2.97,-0.04,0.05,0.19,3.03,3.02,3.02
131.15,2.91,-0.08,2.92,-0.07,0.07,0.20,2.98,2.99,2.99
132.46,2.87,-0.10,2.86,-0.11,0.10,0.22,2.97,2.96,2.97
133.79,2.80,-0.14,2.80,-0.14,0.13,0.24,2.93,2.93,2.94
135.12,2.73,-0.19,2.74,-0.18,0.16,0.26,2.89,2.90,2.92
136.48,2.69,-0.20,2.69,-0.21,0.20,0.30,2.89,2.88,2.89
137.84,2.63,-0.24,2.64,-0.23,0.23,0.33,2.87,2.87,2.87
139.22,2.58,-0.26,2.58,-0.27,0.28,0.37,2.86,2.86,2.85
140.61,2.52,-0.29,2.52,-0.31,0.32,0.42,2.84,2.83,2.82
142.02,2.42,-0.38,2.44,-0.36,0.37,0.47,2.79,2.80,2.80
143.44,2.36,-0.41,2.35,-0.42,0.42,0.53,2.78,2.77,2.77
144.87,2.24,-0.50,2.26,-0.48,0.48,0.59,2.72,2.73,2.74
146.32,2.17,-0.54,2.17,-0.55,0.54,0.65,2.71,2.71,2.71
147.78,2.06,-0.62,2.06,-0.62,0.61,0.73,2.68,2.68,2.68
149.26,1.96,-0.69,1.96,-0.69,0.69,0.80,2.66,2.66,2.66
150.75,1.84,-0.77,1.84,-0.78,0.78,0.89,2.62,2.62,2.62
152.26,1.73,-0.85,1.72,-0.86,0.87,0.97,2.61,2.60,2.59
153.78,1.57,-0.99,1.59,-0.97,0.98,1.07,2.55,2.56,2.56
155.32,1.45,-1.07,1.45,-1.08,1.09,1.17,2.54,2.53,2.52
156.88,1.28,-1.21,1.29,-1.20,1.20,1.27,2.49,2.49,2.49
158.44,1.14,-1.32,1.13,-1.33,1.32,1.38,2.47,2.45,2.46
160.03,0.94,-1.48,0.97,-1.46,1.45,1.50,2.39,2.42,2.42
161.63,0.80,-1.59,0.81,-1.58,1.57,1.62,2.38,2.38,2.40
163.24,0.67,-1.68,0.64,-1.72,1.71,1.75,2.38,2.35,2.36
164.88,0.46,-1.85,0.49,-1.83,1.84,1.89,2.31,2.33,2.32
166.53,0.29,-1.99,0.30,-1.98,1.99,2.03,2.28,2.29,2.28
168.19,0.14,-2.10,0.11,-2.13,2.13,2.17,2.28,2.24,2.24
169.87,-0.10,-2.30,-0.07,-2.27,2.29,2.32,2.19,2.22,2.20
171.57,-0.28,-2.44,-0.28,-2.44,2.44,2.48,2.16,2.17,2.16
173.29,-0.46,-2.58,-0.50,-2.62,2.60,2.64,2.15,2.11,2.12
175.02,-0.75,-2.82,-0.71,-2.79,2.78,2.80,2.03,2.06,2.08
176.77,-0.94,-2.96,-0.93,-2.96,2.96,2.97,2.02,2.02,2.03
178.54,-1.14,-3.12,-1.14,-3.12,3.14,3.14,2.00,2.00,1.98
180.32,-1.35,-3.29,-1.35,-3.29,3.32,3.32,1.97,1.97,1.94
182.13,-1.57,-3.46,-1.60,-3.49,3.51,3.49,1.94,1.90,1.89
183.95,-1.90,-3.73,-1.86,-3.70,3.69,3.67,1.79,1.83,1.83
185.79,-2.12,-3.90,-2.10,-3.89,3.86,3.85,1.75,1.76,1.78
187.65,-2.31,-4.04,-2.32,-4.06,4.03,4.02,1.73,1.71,1.73
189.52,-2.51,-4.19,-2.51,-4.20,4.20,4.19,1.69,1.68,1.69
191.42,-2.71,-4.34,-2.70,-4.34,4.35,4.35,1.64,1.64,1.64
193.33,-2.90,-4.49,-2.89,-4.48,4.49,4.51,1.59,1.59,1.59
195.27,-3.07,-4.61,-3.07,-4.61,4.61,4.65,1.54,1.54,1.54
197.22,-3.24,-4.73,-3.23,-4.72,4.72,4.79,1.49,1.49,1.49
199.19,-3.38,-4.81,-3.38,-4.82,4.82,4.91,1.45,1.44,1.43
201.18,-3.52,-4.91,-3.52,-4.91,4.91,5.02,1.39,1.39,1.39
203.19,-3.64,-4.99,-3.63,-4.99,4.98,5.11,1.35,1.35,1.35
205.23,-3.74,-5.06,-3.73,-5.05,5.04,5.18,1.30,1.31,1.32
207.28,-3.81,-5.08,-3.81,-5.09,5.08,5.24,1.27,1.27,1.28
209.35,-3.88,-5.11,-3.87,-5.11,5.11,5.27,1.23,1.23,1.23
211.44,-3.92,-5.12,-3.92,-5.11,5.11,5.28,1.20,1.20,1.20
213.56,-3.95,-5.11,-3.95,-5.10,5.11,5.28,1.16,1.16,1.16
215.69,-3.96,-5.06,-3.96,-5.07,5.08,5.25,1.12,1.12,1.11
217.85,-3.97,-5.03,-3.96,-5.04,5.04,5.21,1.07,1.07,1.07
220.03,-3.96,-5.00,-3.95,-4.99,4.98,5.15,1.03,1.03,1.04
222.23,-3.93,-4.93,-3.93,-4.93,4.92,5.07,0.99,0.99,1.00
224.45,-3.89,-4.86,-3.88,-4.84,4.84,4.98,0.95,0.96,0.97
226.70,-3.83,-4.74,-3.82,-4.75,4.75,4.88,0.92,0.93,0.92
228.96,-3.75,-4.63,-3.76,-4.65,4.66,4.77,0.91,0.89,0.88
231.25,-3.70,-4.56,-3.69,-4.55,4.56,4.65,0.86,0.87,0.86
233.57,-3.62,-4.46,-3.61,-4.45,4.45,4.52,0.83,0.84,0.84
235.90,-3.51,-4.32,-3.52,-4.34,4.34,4.39,0.83,0.82,0.82
238.26,-3.43,-4.23,-3.42,-4.23,4.23,4.26,0.80,0.80,0.80
240.64,-3.33,-4.12,-3.33,-4.12,4.11,4.13,0.79,0.78,0.79
243.05,-3.23,-4.01,-3.23,-4.01,4.00,3.99,0.77,0.77,0.78
245.48,-3.13,-3.90,-3.12,-3.88,3.88,3.86,0.76,0.77,0.77
247.93,-2.99,-3.74,-3.00,-3.76,3.77,3.73,0.78,0.77,0.76
250.41,-2.90,-3.65,-2.89,-3.64,3.65,3.60,0.76,0.77,0.75
252.92,-2.78,-3.52,-2.79,-3.53,3.54,3.47,0.76,0.75,0.74
255.45,-2.70,-3.44,-2.69,-3.43,3.43,3.34,0.73,0.74,0.74
258.00,-2.61,-3.34,-2.60,-3.33,3.32,3.22,0.71,0.72,0.74
260.58,-2.49,-3.21,-2.50,-3.22,3.21,3.10,0.72,0.71,0.72
263.19,-2.40,-3.11,-2.39,-3.10,3.10,2.99,0.70,0.71,0.71
265.82,-2.28,-2.98,-2.28,-2.99,3.00,2.88,0.72,0.71,0.70
268.48,-2.18,-2.88,-2.18,-2.89,2.89,2.77,0.71,0.70,0.71
271.16,-2.10,-2.80,-2.08,-2.78,2.78,2.67,0.69,0.70,0.71
273.87,-1.98,-2.67,-1.98,-2.68,2.68,2.57,0.70,0.70,0.69
276.61,-1.88,-2.57,-1.89,-2.58,2.58,2.48,0.70,0.69,0.69
279.38,-1.80,-2.49,-1.79,-2.48,2.48,2.39,0.68,0.69,0.69
282.17,-1.71,-2.39,-1.71,-2.39,2.39,2.30,0.68,0.68,0.69
284.99,-1.62,-2.30,-1.61,-2.30,2.29,2.22,0.68,0.68,0.68
287.84,-1.51,-2.20,-1.51,-2.20,2.21,2.14,0.70,0.70,0.69
290.72,-1.41,-2.12,-1.41,-2.12,2.12,2.06,0.71,0.71,0.71
293.63,-1.32,-2.03,-1.31,-2.03,2.04,1.99,0.72,0.72,0.72
296.57,-1.23,-1.95,-1.23,-1.95,1.96,1.92,0.73,0.73,0.72
299.53,-1.15,-1.88,-1.15,-1.88,1.88,1.86,0.74,0.74,0.73
302.53,-1.07,-1.81,-1.07,-1.81,1.81,1.79,0.74,0.74,0.75
305.55,-1.00,-1.75,-0.99,-1.74,1.73,1.73,0.74,0.74,0.75
308.61,-0.93,-1.67,-0.92,-1.67,1.66,1.67,0.73,0.74,0.74
311.69,-0.85,-1.58,-0.85,-1.59,1.59,1.61,0.74,0.73,0.73
314.81,-0.79,-1.53,-0.78,-1.52,1.51,1.56,0.73,0.73,0.74
317.96,-0.72,-1.45,-0.71,-1.45,1.44,1.51,0.73,0.73,0.74
321.14,-0.65,-1.38,-0.65,-1.37,1.38,1.46,0.73,0.73,0.73
324.35,-0.58,-1.30,-0.58,-1.30,1.32,1.41,0.74,0.74,0.72
327.59,-0.53,-1.24,-0.53,-1.25,1.27,1.36,0.74,0.74,0.71
330.87,-0.49,-1.22,-0.49,-1.21,1.22,1.31,0.74,0.74,0.73
334.18,-0.46,-1.19,-0.45,-1.19,1.19,1.27,0.73,0.74,0.74
337.52,-0.42,-1.16,-0.42,-1.16,1.16,1.23,0.75,0.74,0.74
340.90,-0.40,-1.14,-0.40,-1.14,1.15,1.19,0.75,0.75,0.75
344.30,-0.38,-1.13,-0.38,-1.13,1.13,1.15,0.76,0.76,0.75
347.75,-0.37,-1.13,-0.37,-1.13,1.13,1.12,0.76,0.76,0.76
351.23,-0.37,-1.12,-0.37,-1.12,1.12,1.08,0.75,0.75,0.76
354.74,-0.37,-1.11,-0.37,-1.11,1.10,1.05,0.74,0.74,0.74
358.28,-0.37,-1.09,-0.36,-1.09,1.09,1.02,0.72,0.72,0.73
361.87,-0.36,-1.08,-0.35,-1.07,1.07,1.00,0.71,0.71,0.72
365.49,-0.34,-1.05,-0.34,-1.05,1.04,0.97,0.70,0.70,0.71
369.14,-0.32,-1.02,-0.32,-1.02,1.01,0.95,0.69,0.69,0.70
372.83,-0.30,-0.99,-0.29,-0.98,0.97,0.94,0.68,0.68,0.69
376.56,-0.26,-0.92,-0.26,-0.94,0.94,0.92,0.68,0.68,0.67
380.33,-0.24,-0.90,-0.24,-0.90,0.91,0.91,0.67,0.67,0.66
384.13,-0.22,-0.87,-0.22,-0.87,0.88,0.90,0.66,0.66,0.65
387.97,-0.21,-0.85,-0.20,-0.85,0.86,0.89,0.65,0.65,0.64
391.85,-0.20,-0.83,-0.20,-0.83,0.84,0.88,0.64,0.64,0.63
395.77,-0.20,-0.82,-0.20,-0.82,0.82,0.88,0.63,0.62,0.63
399.73,-0.21,-0.82,-0.21,-0.82,0.81,0.88,0.61,0.61,0.61
403.72,-0.22,-0.82,-0.21,-0.82,0.81,0.87,0.59,0.60,0.61
407.76,-0.23,-0.82,-0.23,-0.82,0.81,0.87,0.59,0.59,0.59
411.84,-0.24,-0.81,-0.24,-0.81,0.82,0.87,0.58,0.57,0.57
415.96,-0.27,-0.81,-0.27,-0.81,0.82,0.87,0.56,0.56,0.55
420.12,-0.30,-0.83,-0.30,-0.82,0.83,0.87,0.54,0.54,0.53
424.32,-0.33,-0.83,-0.33,-0.84,0.84,0.87,0.51,0.51,0.51
428.56,-0.36,-0.85,-0.36,-0.85,0.84,0.87,0.49,0.49,0.49
432.85,-0.38,-0.87,-0.37,-0.86,0.85,0.87,0.47,0.47,0.49
437.18,-0.39,-0.87,-0.38,-0.87,0.85,0.87,0.47,0.47,0.48
441.55,-0.38,-0.86,-0.38,-0.86,0.86,0.87,0.48,0.47,0.48
445.96,-0.38,-0.85,-0.37,-0.85,0.85,0.87,0.48,0.48,0.48
450.42,-0.37,-0.84,-0.37,-0.84,0.85,0.87,0.49,0.48,0.47
454.93,-0.37,-0.84,-0.37,-0.84,0.85,0.87,0.48,0.48,0.48
459.48,-0.37,-0.84,-0.37,-0.84,0.84,0.87,0.48,0.48,0.47
464.07,-0.37,-0.85,-0.37,-0.84,0.84,0.87,0.48,0.48,0.48
468.71,-0.37,-0.84,-0.37,-0.84,0.84,0.86,0.47,0.47,0.48
473.40,-0.37,-0.84,-0.37,-0.84,0.84,0.86,0.47,0.47,0.47
478.13,-0.37,-0.84,-0.37,-0.84,0.84,0.86,0.48,0.48,0.48
482.91,-0.37,-0.84,-0.37,-0.84,0.84,0.85,0.48,0.48,0.47
487.74,-0.37,-0.85,-0.37,-0.84,0.84,0.85,0.48,0.48,0.48
492.62,-0.37,-0.84,-0.37,-0.84,0.84,0.84,0.48,0.48,0.47
497.55,-0.37,-0.85,-0.37,-0.85,0.84,0.84,0.47,0.47,0.48
502.52,-0.37,-0.84,-0.37,-0.84,0.84,0.83,0.47,0.47,0.48
507.55,-0.37,-0.84,-0.37,-0.84,0.84,0.82,0.47,0.47,0.47
